country;iso;frpressfh;frpressrsf;gdppc;pop;fdi;intusers;crises;democ
Afghanistan;AFG;27.05555556;56.63722222;434.7394444;28332631.35;97177529.37;5.266940072;0.35;0.32245
Albania;ALB;49.44444444;74.91529412;3542.0985;2948464.5;787996033.3;33.0161327;0.05;0.503
Algeria;DZA;36.05555556;59.34111111;3811.866;36019012.15;1466598345;19.35077318;0.05;0.32425
Angola;AGO;31.22222222;65.89333333;2705.565;23483728.85;1405589632;9.604514984;0;0.2449
Antigua and Barbuda;ATG;60.27777778;;13533.5335;84462.2;138931752.6;39.50333551;0;
Argentina;ARG;54.66666667;78.28555556;9272.7055;40881041.65;7440705357;41.48329946;0.5;0.7912
Armenia;ARM;36.83333333;71.72117647;2817.9055;2970844.95;367725867.1;28.33928879;0.15;0.39025
Australia;AUS;81.5;86.95222222;45246.2205;21923273.7;37773242130;75.27071416;0.2;0.8792
Austria;AUT;79.27777778;90.76277778;42946.634;8399728.6;12432785950;48.07841866;0.25;0.8606
Azerbaijan;AZE;21.61111111;47.38222222;4092.437;8987050.55;3332346600;85.49526741;0;0.21225
Bahamas;BHS;83.38888889;;29950.7365;368071.35;445972992.8;43.21086667;0;
Bahrain;BHR;23.33333333;49.77111111;20176.866;1121929.65;999044921.6;47.92441014;0;0.17105
Bangladesh;BGD;39.16666667;52.85111111;930.5815;147969749.7;1290323828;57.79350606;0.05;0.37335
Barbados;BRB;82.44444444;;15283.2085;273340.2;352581658.5;6.873765951;0;0.7698
Belarus;BLR;12;44.58277778;4874.0455;9584749.5;1258775000;56.25090303;0;0.2429
Belgium;BEL;89.33333333;90.44;40112.913;10856633.6;54442834359;41.33469247;0.2;0.88895
Belize;BLZ;77.55555556;78.05333333;4295.2925;316275.1;92064844.01;68.47660729;0;
Benin;BEN;67.61111111;78.57111111;979.5755;9430245.95;118597395.5;8.056090763;0;0.63645
Bhutan;BTN;36.61111111;63.04;2017.205;694183.4;16552475.08;20.96016664;0;0.38605
Bolivia;BOL;60.94444444;73.42333333;2064.3515;10154924.75;540792385.2;6.032383809;0.3;0.68555
Bosnia and Herzegovina;BIH;51;80.80722222;4122.3185;3825205.9;533989957.4;18.18066704;0;0.59505
Botswana;BWA;63.72222222;79.36352941;5924.4435;2085205.8;291900268.8;3.548430124;0;0.7072
Brazil;BRA;59.16666667;73.75222222;7935.324;194885053.7;52894259767;23.22178934;0.2;0.84335
Brunei ;BRN;24.66666667;52.48277778;30678.9135;390618.75;353016901.5;35.95455615;0;
Bulgaria;BGR;65.38888889;76.65333333;6010.557;7458621.2;3324769017;12.96026317;0.1;0.6858
Burkina Faso;BFA;59.38888889;77.75888889;587.9525;16092604.2;137579376.3;45.10579814;0.1;0.5656
Burundi;BDI;23.94444444;61.43944444;203.7735;8927975.05;13613219.6;38.67352459;0;0.2615
Cabo Verde;CPV;70.77777778;85.37277778;2856.5285;518944.45;102429408.1;52.67485193;0;0.78625
Cambodia;KHM;36.33333333;62.945;827.9615;14220100.55;1344885514;25.99739226;0.05;0.2945
Cameroon;CMR;32.88888889;64.44111111;1264.0925;19915295.55;464006525.8;6.434798752;0;0.3136
Canada;CAN;82.44444444;89.91833333;41094.5175;33891706.6;44494599415;9.218649211;0.05;0.82675
Central African Republic;CAF;35.44444444;71.57222222;399.98;4518900.5;26678410.42;78.08653173;0.1;0.32665
Chad;TCD;26.16666667;63.61888889;682.46;11878270.1;370488749.9;1.97953051;0;0.2799
Chile;CHL;72.16666667;81.34;10958.742;16986351.6;13084401102;48.84050297;0.05;0.8836
China;CHN;16.72222222;17.40111111;4795.215;1336715500;1.64212E+11;29.93838163;0;0.0917
Colombia;COL;41.66666667;56.79;5229.131;44501384.95;9469113736;33.27269125;0.15;0.60695
Comoros;COM;53.27777778;76.06944444;1204.814;655554.85;5190729.026;3.920896998;0;0.4081
Congo, Democratic Republic;COD;19.38888889;50.93444444;358.827;66852597.5;1074346030;34.11726916;0;0.2872
Congo, Republic;COG;42.16666667;71.49722222;2327.743;4327995.3;1350691068;46.54544228;0;0.23415
Costa Rica;CRI;82.27777778;89.08555556;8015.2485;4571486.15;2078351034;3.976477245;0;0.9048
Cote d'Ivoire;CIV;35.55555556;63.72777778;1653.246;21097649.05;426615667.5;39.63250463;0.15;0.45875
Croatia;HRV;59.61111111;78.44222222;12023.1115;4260889.45;1944993079;9.411636024;0.1;0.78685
Cyprus;CYP;78.55555556;74.99666667;26008.801;1105033.7;20010819651;48.63069576;0.05;0.8304
Czechia;CZE;79.5;88.71388889;16898.396;10408335;7921601725;51.6012531;0.3;0.87985
Denmark;DNK;89.22222222;92.47555556;52621.6425;5547852.5;6338095472;56.71220708;0.05;0.9174
Djibouti;DJI;29.44444444;46.74388889;1658.1665;911026.05;109574858.9;83.85114844;0;0.2523
Dominica;DMA;79.27777778;;6450.6835;69142.4;30122419.35;14.57586589;0;
Dominican Republic;DOM;62.05555556;75.48117647;5265.5135;9718384.15;1960570500;41.76783041;0;0.6136
Ecuador;ECU;50.5;74.23944444;4393.739;14886645.35;665685336.4;33.38649031;0.25;0.6332
Egypt;EGY;32.27777778;49.02222222;2260.218;87434721.5;5233250000;27.21935906;0.15;0.1982
El Salvador;SLV;59.66666667;80.87777778;3037.1345;6120432.8;444613763.8;23.28637787;0;0.60065
Equatorial Guinea;GNQ;12.5;40.56166667;12245.398;1087780.05;722626289.2;8.220141942;0;0.182
Eritrea;ERI;10.94444444;10.91666667;424.5291667;3041026.2;40642000.88;0.679384013;0;0.073
Estonia;EST;83.05555556;91.40235294;14710.838;1341159.9;1525020467;68.54742633;0.1;0.87935
Eswatini;SWZ;;53.58111111;3304.708;1099222.85;59917454.2;30.33117565;0.052631579;0.12895
Ethiopia;ETH;25.5;53.97;395.2285;88970749;1210083581;47.70954688;0.05;0.2413
Fiji;FJI;56.11111111;69.22176471;4204.539;892056.75;282109055.4;24.39682758;0.15;0.30715
Finland;FIN;89.44444444;93.90722222;42712.34;5352280.65;9225353874;78.45453341;0.15;0.8753
France;FRA;78.05555556;84.125;36920.514;64604819.95;47562837518;62.47824331;0.05;0.8841
Gabon;GAB;34.33333333;67.88166667;7481.741;1718001.8;635718517.6;21.58287953;0;0.36555
Gambia;GMB;;58.61888889;678.344;1933430.4;54230395.88;11.67157045;0;0.29
Georgia;GEO;46.72222222;68.13388889;3001.6705;3829576.2;1045200624;27.07077532;0.55;0.5444
Germany;DEU;83.61111111;90.22777778;39291.607;82001094;75945769162;13.42461445;0;0.89515
Ghana;GHA;68.77777778;84.02333333;1276.836;25391894.05;2015157154;43.73077887;0;0.7388
Greece;GRC;66.55555556;79.82333333;21425.746;10931452.6;2275523569;31.01352257;0.35;0.8798
Grenada;GRD;78.22222222;;7535.4605;114238.2;98985176.72;16.08037267;0;
Guatemala;GTM;42.27777778;69.09833333;2961.817;14121567.9;752798941;5.414128193;0.1;0.57985
Guinea;GIN;32.61111111;69.31944444;631.5475;10305939.9;275778736;4.988701471;0.05;0.29875
Guinea-Bissau;GNB;43.11111111;72.65388889;547.5245;1568264.85;16426337.52;18.8936576;0.2;0.4388
Guyana;GUY;71.22222222;76.13388889;3860.4375;758823.7;278035080.5;22.80250209;0.1;0.60425
Haiti;HTI;41.66666667;73.695;1091.2535;9765290.85;93438929.32;47.51738689;0.4;0.4
Honduras;HND;44.16666667;64.67176471;1810.773;8340063.35;861337131.9;15.41574464;0;0.4778
Hungary;HUN;71.66666667;82.96333333;12144.477;9985614.5;20692642537;54.35430323;0;0.7501
Iceland;ISL;88.83333333;91.92944444;51696.638;315757.25;1069205959;88.14729935;0.1;0.87425
India;IND;61.16666667;61.56222222;1193.158;1228829554;26316479188;8.929152789;0.2;0.65395
Indonesia;IDN;47.94444444;63.59944444;2506.113;242381616.9;11530533040;13.81487006;0.1;0.67115
Iran;IRN;16;22.54777778;4715.1645;75361368.2;2706703840;25.55627167;0.15;0.201
Iraq;IRQ;25;44.85055556;4017.951;32248852.15;675115000.6;12.82433391;0.6;0.3386
Ireland;IRL;83.72222222;91.49111111;53402.9345;4430758.85;52359884957;61.8477993;0.2;0.8907
Israel;ISR;70.38888889;63.84722222;29751.9605;7595315;9110155000;54.18217231;0.3;0.746
Italy;ITA;68.94444444;80.57611111;32312.6845;58985645.75;23391642534;47.94106327;0.65;0.8566
Jamaica;JAM;83.66666667;89.53411765;4518.795;2726055.05;645863444.3;37.60758238;0.05;0.7738
Japan;JPN;78.44444444;82.39388889;39322.6985;127477000;13803019781;67.68417872;0.35;0.8437
Jordan;JOR;36.88888889;61.21666667;3225.146;7325161.65;1600746139;73.16585022;0.15;0.2357
Kazakhstan;KAZ;22.33333333;50.31888889;7383.269;16324587;7646315774;29.31311761;0.1;0.2435
Kenya;KEN;40.05555556;71.91611111;1030.289;40872462.5;495296107.9;35.17435876;0.2;0.454
Kiribati;KIR;73.77777778;;1366.6765;106617.7;949056.013;8.979650945;0;
Korea, South;KOR;69.55555556;80.97444444;22946.94;49473879.5;10119865000;11.02297411;0.3;0.80485
Kosovo;XKX;50.375;;3622.6375;1756326.1;273548791.2;79.28725444;0.166666667;0.5004
Kuwait;KWT;44.44444444;72.425;35246.9365;3025547.5;609251528.9;53.48500495;0.2;0.31505
Kyrgyz Republic;KGZ;32;65.27055556;860.6665;5523600;295769795.9;19.31297741;0.3;0.3752
Laos;LAO;18.5;28.41833333;1270.79;6287754.85;487479720.4;9.674715844;0;0.09635
Latvia;LVA;76.77777778;86.13882353;11589.688;2123038.1;857806245;58.06560476;0.2;0.8098
Lebanon;LBN;41.38888889;71.64777778;6407.0145;5195965.95;2718371476;41.29032621;0.5;0.4383
Lesotho;LSO;53.05555556;72.88588235;926.036;2052847.75;54829750.4;12.94929478;0.1;0.5642
Liberia;LBR;35.11111111;70.42166667;513.2725;3932889.65;559117853.6;5.674360275;0.1;0.542
Libya;LBY;15.55555556;41.27944444;9214.356;6004793.85;898565000.4;7.956412621;0.25;0.17575
Liechtenstein;LIE;86.33333333;84.04428571;134420.624;35807.55;22794218324;74.4047267;0.05;
Lithuania;LTU;79.55555556;86.23058824;11861.4775;3129551.85;1179007279;52.58418517;0;0.831
Luxembourg;LUX;87.94444444;87.79333333;97031.8195;513488.8;12745998087;77.86976702;0.05;0.87855
Madagascar;MDG;49.22222222;73.44444444;439.891;21578140.15;487761295.1;2.794744297;0.05;0.4273
Malawi;MWI;47;71.26333333;368.729;14698962.2;167709910.3;3.13491542;0.3;0.49535
Malaysia;MYS;33.16666667;58.76555556;8086.767;28209375.65;7523769448;56.22567369;0.05;0.3196
Maldives;MDV;39.83333333;63.03705882;6486.888;369575.15;252601813;29.90771897;0.1;0.37745
Mali;MLI;71.5;77.89055556;643.6625;15480202;307822677.1;5.652268162;0.15;0.5554
Malta;MLT;80.72222222;76.29636364;20877.3605;424254.25;7411873887;55.37243695;0.05;0.79585
Marshall Islands;MHL;85.38888889;;2941.2455;51902.85;5934765.595;10.09119633;0.05;
Mauritania;MRT;43.27777778;70.24055556;1348.8685;3444506.05;400337565.9;8.907771284;0.1;0.38495
Mauritius;MUS;74.16666667;80.36722222;7645.012;1240778.1;283948558.4;30.51417987;0;0.75925
Mexico;MEX;47.16666667;55.94888889;9026.0215;111900948;28393712112;33.45509929;0;0.65925
Moldova;MDA;40.38888889;73.84176471;2189.043;2849911.8;264383000;32.61001551;0;0.55365
Mongolia;MNG;64.22222222;74.18166667;2494.5295;2749643.9;1080456232;17.32380759;0.2;0.6793
Montenegro;MNE;57.66666667;69.26538462;5713.9655;617121.3;436493757.3;49.10487025;0.05;0.48065
Morocco;MAR;37.55555556;59.99111111;2530.0995;32348838.45;2258663435;36.63862917;0.142857143;0.2597
Mozambique;MOZ;55.61111111;75.10444444;479.9215;23275300.75;2027130781;4.052276769;0;0.44015
Myanmar;MMR;11.05555556;28.98777778;695.283;49339758.55;1454587912;6.679190258;0;0.2159
Namibia;NAM;67.66666667;87.14055556;4308.8245;2107789.55;466420202.7;13.91367552;0;0.6702
Nepal;NPL;40.5;53.98444444;617.402;26877865.45;53468529.13;9.473456803;0;0.4378
Netherlands;NLD;87.44444444;93.325;45688.353;16603112.5;1.90745E+11;81.81116629;0.8;0.8689
New Zealand;NZL;86.38888889;91.25823529;32269.849;4351220;1788665591;74.22180877;0.35;0.89205
Nicaragua;NIC;54.88888889;76.50823529;1535.548;5844803.65;580930000;12.37464362;0;0.4385
Niger;NER;43.88888889;74.72611111;422.173;16785407.7;389761022.5;1.398997935;0.05;0.55015
Nigeria;NGA;47.11111111;61.88444444;1866.2195;160450276.1;4245595112;13.03266749;0;0.48455
North Macedonia;MKD;48.94444444;75.55823529;4181.655;2051756.8;372123493;46.6479089;0.1;0.52465
Norway;NOR;90.77777778;94.08111111;74928.4725;4886368.75;9608198848;86.83105769;0;0.89445
Oman;OMN;28.88888889;56.81176471;16639.6205;3241953.05;1693630001;20.60514663;0;0.1559
Pakistan;PAK;38.05555556;47.04833333;1044.189;190877418.9;2057350000;69.04926066;0.65;0.38115
Palau;PLW;86.06666667;;11523.9005;18774.5;14852640.11;8.521586027;0;
Panama;PAN;58.05555556;75.45277778;8977.1235;3601206.25;2851830402;33.50675167;0;0.74125
Papua New Guinea;PNG;72.5;75.71545455;1790.3445;7490129.5;158463672.3;30.52208659;0.15;0.4651
Paraguay;PRY;42.83333333;75.35388889;3841.6455;5787322;319081371.5;28.20308525;0.05;0.5955
Peru;PER;56.38888889;69.67555556;4621.2135;29339696.05;5413776847;10.66471484;0.65;0.77785
Philippines;PHL;60;56.06833333;2137.084;93898548.4;3717989900;21.76562083;0.1;0.5178
Poland;POL;76.72222222;84.06555556;10928.265;38096059.45;13448050000;22.93859976;0.1;0.84645
Portugal;PRT;83.88888889;87.89888889;19863.7545;10438385.65;8423314205;3.391961076;0.1;0.89115
Qatar;QAT;35.44444444;66.88;59610.4125;1634169.9;1773708588;51.55579968;0;0.03895
Romania;ROU;58;80.14222222;7476.6545;20596531.1;5256298038;49.06290936;0.45;0.6557
Russian Federation;RUS;25.61111111;50.45888889;8845.452;143982797.4;30073571000;26.0482866;0.1;0.30895
Rwanda;RWA;18.88888889;47.84333333;542.906;10253923.9;143663276.1;55.90528293;0.05;0.20045
Saint Kitts and Nevis;KNA;80.22222222;;15515.718;47144.05;100677678.8;36.75650101;0;
Saint Lucia;LCA;85.61111111;;8471.619;169873.65;110183549.5;42.84318839;0;
Saint Vincent and the Grenadines;VCT;83.22222222;;6322.219;109486.25;89224889.23;8.928788239;0.05;
Samoa;WSM;72.11111111;75.367;3234.0445;195716.05;11242869.71;43.15483306;0;
Sao Tome and Principe;STP;73;;1231.049474;179487.45;23944135.74;8.644320166;0.05;0.6769
Saudi Arabia;SAU;16.77777778;36.10833333;17789.031;28518416.75;11553208100;12.59989955;0;0.0175
Senegal;SEN;54.44444444;75.68888889;1155.421;12543522.9;350725632.6;68.73149249;0;0.6933
Serbia;SRB;57.27777778;73.00538462;5144.393;7274335.85;1964987542;4.559483502;0;0.53985
Seychelles;SYC;45.77777778;73.33277778;12239.4385;88160.25;144657972.1;4.001631489;0;0.48315
Sierra Leone;SLE;42.11111111;70.56666667;420.9725;6379303.1;230514974;16.75906986;0;0.49015
